Date,Product_ID,Product_Name,Transaction_Type,Units,Cumulative_Quantity
2020-08-31,1061966,SsangYong Motor Co. Ltd.,BUY,27724.0,27724.0
2020-08-31,1046250,SAMSUNG SDI CO LTD,SELL,1913.0,0.0
2020-08-31,1061619,Iljin Materials Co Ltd,BUY,17231.0,17231.0
2020-08-31,1061591,Hyundai Elevator Co Ltd,SELL,872.0,0.0
2020-08-31,1061600,Doosan Infracore Co Ltd,BUY,4550.0,4550.0
2020-10-05,1046540,KUMHO PETROCHEMICAL CO LTD,SELL,776.0,0.0
2020-10-05,1046409,HANWHA CORPORATION,BUY,3454.0,3454.0
2020-10-15,1046217,HANKOOK TIRE CO LTD,SELL,2645.0,0.0
2020-10-15,1046173,KIA MOTORS CORP,BUY,1825.0,1825.0
2020-10-30,1061582,BGF retail Co Ltd,SELL,377.0,0.0
2020-10-30,1046474,GS RETAIL CO LTD,BUY,1378.0,1378.0
2020-11-30,1046632,HYUNDAI GLOVIS LTD,SELL,553.0,0.0
2020-11-30,1061587,Pan Ocean Co Ltd,BUY,23094.0,23094.0
2020-12-15,1046309,KOREA ZINC CO LTD,SELL,145.0,0.0
2020-12-15,1046159,POSCO,BUY,213.0,519.0
2020-12-30,1061966,SsangYong Motor Co. Ltd.,SELL,27724.0,0.0
2020-12-30,1061708,Hankook Tire Worldwide Co Ltd,BUY,5219.0,5219.0
2021-02-01,1061608,Daewoong Pharmaceutical Co Ltd,SELL,18436.0,0.0
2021-02-01,1061993,Alteogen Inc.,BUY,20353.0,20353.0
2021-02-01,1046524,LG INNOTEK CO LTD,BUY,4696.0,4696.0
2021-02-01,1061571,Samsung Biologics Co Ltd,BUY,483.0,1454.0
2021-02-01,1046188,SK INNOVATION CO LTD,BUY,252.0,252.0
2021-02-01,1046614,S-OIL CORP,SELL,1031.0,0.0
2021-02-01,1046275,SAMSUNG SDS CO LTD,BUY,3632.0,3632.0
2021-02-01,1046216,NCSOFT CORP,SELL,742.0,1017.0
2021-02-01,1046216,NCSOFT CORP,SELL,1017.0,0.0
2021-02-01,1046319,KAKAO CORP,BUY,2186.0,2186.0
2021-02-01,1046676,SAMSUNG ELECTRO MECHANICS LTD,SELL,4733.0,0.0
